experiment,playerID,idsubj,period,session,group,player,cont,othercont,profit,preftype,sequencePC,belief,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,u,predictedcontribution,firstcont,initialbelief,Lcont,L2cont,L3cont,Lothercont,L2othercont,L3othercont
"Fischbaer & Gächter 2010",43,219,9,2,4,19,5,3,21,4,0,5,0,0,0,0,16,15,15,20,20,7,7,9,8,8,8,10,10,10,5,20,20,8,15,8,8,4,5,10,0,5,5
"Fischbaer & Gächter 2010",43,219,10,2,1,19,4,2,19.6,4,0,4,0,0,0,0,16,15,15,20,20,7,7,9,8,8,8,10,10,10,5,20,20,8,16,8,8,5,4,5,3,0,5
"Fischbaer & Gächter 2010",44,220,1,2,4,20,20,1,9.2,1,0,15,0,0,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,20,20,20,20,10,13,20,15,,,,,,
"Fischbaer & Gächter 2010",44,220,2,2,1,20,15,7,19.8,1,0,10,0,0,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,20,20,20,20,10,9,20,15,20,,,1,,
"Fischbaer & Gächter 2010",44,220,3,2,1,20,10,0,14,1,0,10,0,0,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,20,20,20,20,10,9,20,15,15,20,,7,1,
"Fischbaer & Gächter 2010",44,220,4,2,6,20,10,7,22.4,1,0,5,0,0,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,20,20,20,20,10,4,20,15,10,15,20,0,7,1
"Fischbaer & Gächter 2010",44,220,5,2,1,20,8,8,24.8,1,0,6,0,0,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,20,20,20,20,10,5,20,15,10,10,15,7,0,7
"Fischbaer & Gächter 2010",44,220,6,2,3,20,8,6,22,1,0,5,0,0,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,20,20,20,20,10,4,20,15,8,10,10,8,7,0
"Fischbaer & Gächter 2010",44,220,7,2,2,20,0,5,26,1,0,4,0,0,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,20,20,20,20,10,3,20,15,8,8,10,6,8,7
"Fischbaer & Gächter 2010",44,220,8,2,5,20,0,4,24.8,1,0,3,0,0,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,20,20,20,20,10,2,20,15,0,8,8,5,6,8
"Fischbaer & Gächter 2010",44,220,9,2,1,20,5,4,21.8,1,0,4,0,0,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,20,20,20,20,10,3,20,15,0,0,8,4,5,6
"Fischbaer & Gächter 2010",44,220,10,2,4,20,0,7,28,1,0,0,0,0,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,20,20,20,20,10,0,20,15,5,0,0,4,4,5
"Fischbaer & Gächter 2010",45,221,1,2,4,21,0,8,29.2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,
"Fischbaer & Gächter 2010",45,221,2,2,5,21,0,10,32,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,8,,
"Fischbaer & Gächter 2010",45,221,3,2,2,21,0,6,27.2,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,10,8,
"Fischbaer & Gächter 2010",45,221,4,2,3,21,0,2,22.4,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,10,8
"Fischbaer & Gächter 2010",45,221,5,2,3,21,0,5,26,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,6,10
"Fischbaer & Gächter 2010",45,221,6,2,5,21,0,0,20,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,2,6
"Fischbaer & Gächter 2010",45,221,7,2,5,21,0,2,22,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,2
"Fischbaer & Gächter 2010",45,221,8,2,2,21,0,8,30,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,5
"Fischbaer & Gächter 2010",45,221,9,2,4,21,0,5,26,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,2,0
"Fischbaer & Gächter 2010",45,221,10,2,2,21,20,0,8,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,8,2
"Fischbaer & Gächter 2010",46,222,1,2,4,22,0,8,29.2,4,0,18,15,14,16,8,9,7,15,12,10,20,0,0,1,2,0,4,5,8,3,8,12,20,3,0,18,,,,,,
"Fischbaer & Gächter 2010",46,222,2,2,6,22,2,10,30.4,4,0,15,15,14,16,8,9,7,15,12,10,20,0,0,1,2,0,4,5,8,3,8,12,20,4,0,18,0,,,8,,
"Fischbaer & Gächter 2010",46,222,3,2,4,22,8,11,28.4,4,0,18,15,14,16,8,9,7,15,12,10,20,0,0,1,2,0,4,5,8,3,8,12,20,3,0,18,2,0,,10,8,
"Fischbaer & Gächter 2010",46,222,4,2,4,22,0,5,26,4,0,15,15,14,16,8,9,7,15,12,10,20,0,0,1,2,0,4,5,8,3,8,12,20,4,0,18,8,2,0,11,10,8
"Fischbaer & Gächter 2010",46,222,5,2,4,22,6,3,20.4,4,0,7,15,14,16,8,9,7,15,12,10,20,0,0,1,2,0,4,5,8,3,8,12,20,12,0,18,0,8,2,5,11,10
"Fischbaer & Gächter 2010",46,222,6,2,1,22,3,2,20.2,4,0,12,15,14,16,8,9,7,15,12,10,20,0,0,1,2,0,4,5,8,3,8,12,20,1,0,18,6,0,8,3,5,11
"Fischbaer & Gächter 2010",46,222,7,2,3,22,1,12,33.4,4,0,7,15,14,16,8,9,7,15,12,10,20,0,0,1,2,0,4,5,8,3,8,12,20,12,0,18,3,6,0,2,3,5
"Fischbaer & Gächter 2010",46,222,8,2,6,22,0,2,22,4,0,16,15,14,16,8,9,7,15,12,10,20,0,0,1,2,0,4,5,8,3,8,12,20,5,0,18,1,3,6,12,2,3
"Fischbaer & Gächter 2010",46,222,9,2,3,22,0,1,21.2,4,0,9,15,14,16,8,9,7,15,12,10,20,0,0,1,2,0,4,5,8,3,8,12,20,20,0,18,0,1,3,2,12,2
"Fischbaer & Gächter 2010",46,222,10,2,6,22,5,3,20.2,4,0,17,15,14,16,8,9,7,15,12,10,20,0,0,1,2,0,4,5,8,3,8,12,20,8,0,18,0,0,1,1,2,12
"Fischbaer & Gächter 2010",47,223,1,2,6,23,20,4,12.4,1,0,19,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,5,19,20,19,,,,,,
"Fischbaer & Gächter 2010",47,223,2,2,5,23,10,7,22,1,0,12,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,5,11,20,19,20,,,4,,
"Fischbaer & Gächter 2010",47,223,3,2,5,23,8,3,19.2,1,0,9,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,5,8,20,19,10,20,,7,4,
"Fischbaer & Gächter 2010",47,223,4,2,1,23,10,4,18.4,1,0,7,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,5,6,20,19,8,10,20,3,7,4
"Fischbaer & Gächter 2010",47,223,5,2,1,23,10,7,22.8,1,0,5,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,5,4,20,19,10,8,10,4,3,7
"Fischbaer & Gächter 2010",47,223,6,2,2,23,15,6,18.6,1,0,8,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,5,7,20,19,10,10,8,7,4,3
"Fischbaer & Gächter 2010",47,223,7,2,6,23,5,3,20.2,1,0,6,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,5,5,20,19,15,10,10,6,7,4
"Fischbaer & Gächter 2010",47,223,8,2,4,23,10,3,17.2,1,0,6,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,5,5,20,19,5,15,10,3,6,7
"Fischbaer & Gächter 2010",47,223,9,2,6,23,10,3,18,1,0,6,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,5,5,20,19,10,5,15,3,3,6
"Fischbaer & Gächter 2010",47,223,10,2,5,23,0,0,20.4,1,0,4,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,5,3,20,19,10,10,5,3,3,3
"Fischbaer & Gächter 2010",48,224,1,2,6,24,3,9,29.4,4,0,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,3,5,,,,,,
"Fischbaer & Gächter 2010",48,224,2,2,2,24,2,2,21.6,4,0,8,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,3,5,3,,,9,,
"Fischbaer & Gächter 2010",48,224,3,2,6,24,0,4,25.2,4,0,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,3,5,2,3,,2,9,
"Fischbaer & Gächter 2010",48,224,4,2,5,24,1,7,27.4,4,0,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,3,5,0,2,3,4,2,9
"Fischbaer & Gächter 2010",48,224,5,2,2,24,1,4,23.8,4,0,7,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,1,3,5,1,0,2,7,4,2
"Fischbaer & Gächter 2010",48,224,6,2,6,24,5,1,18.2,4,0,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,3,5,1,1,0,4,7,4
"Fischbaer & Gächter 2010",48,224,7,2,4,24,0,1,21.2,4,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,3,5,5,1,1,1,4,7
"Fischbaer & Gächter 2010",48,224,8,2,6,24,1,1,21,4,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,3,5,0,5,1,1,1,4
"Fischbaer & Gächter 2010",48,224,9,2,2,24,0,1,21.2,4,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,3,5,1,0,5,1,1,1
"Fischbaer & Gächter 2010",48,224,10,2,1,24,0,3,23.6,4,0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,3,5,0,1,0,1,1,1
"Fischbaer & Gächter 2010",49,301,1,3,4,1,0,9,30.4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,5,,,,,,
"Fischbaer & Gächter 2010",49,301,2,3,2,1,6,11,29.2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,5,0,,,9,,
"Fischbaer & Gächter 2010",49,301,3,3,5,1,0,9,30.4,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,5,6,0,,11,9,
"Fischbaer & Gächter 2010",49,301,4,3,4,1,0,7,28.8,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,5,0,6,0,9,11,9
"Fischbaer & Gächter 2010",49,301,5,3,1,1,0,2,22.4,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,5,0,0,6,7,9,11
"Fischbaer & Gächter 2010",49,301,6,3,3,1,0,3,24,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,5,0,0,0,2,7,9
"Fischbaer & Gächter 2010",49,301,7,3,5,1,0,5,26,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,5,0,0,0,3,2,7
"Fischbaer & Gächter 2010",49,301,8,3,5,1,0,1,20.8,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,5,0,0,0,5,3,2
"Fischbaer & Gächter 2010",49,301,9,3,3,1,0,0,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,5,0,0,0,1,5,3
"Fischbaer & Gächter 2010",49,301,10,3,1,1,0,2,22.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,0,5,0,0,0,0,1,5
"Fischbaer & Gächter 2010",50,302,1,3,2,2,20,7,16.8,1,0,19,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,0,20,20,19,,,,,,
"Fischbaer & Gächter 2010",50,302,2,3,5,2,20,9,18.4,1,0,18,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,0,20,20,19,20,,,7,,
"Fischbaer & Gächter 2010",50,302,3,3,1,2,20,4,12.8,1,0,17,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,0,20,20,19,20,20,,9,7,
"Fischbaer & Gächter 2010",50,302,4,3,2,2,20,1,8.8,1,0,17,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,0,20,20,19,20,20,20,4,9,7
"Fischbaer & Gächter 2010",50,302,5,3,4,2,20,6,14.8,1,0,16,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,0,20,20,19,20,20,20,1,4,9
"Fischbaer & Gächter 2010",50,302,6,3,2,2,20,1,9.2,1,0,13,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,0,20,20,19,20,20,20,6,1,4
"Fischbaer & Gächter 2010",50,302,7,3,1,2,0,2,22.4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,0,0,20,19,20,20,20,1,6,1
"Fischbaer & Gächter 2010",50,302,8,3,4,2,0,4,24.4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,0,0,20,19,0,20,20,2,1,6
"Fischbaer & Gächter 2010",50,302,9,3,3,2,0,0,20,1,0,3,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,0,0,20,19,0,0,20,4,2,1
"Fischbaer & Gächter 2010",50,302,10,3,4,2,0,1,20.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,0,0,20,19,0,0,0,0,4,2
"Fischbaer & Gächter 2010",51,303,1,3,5,3,0,11,33.2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,
"Fischbaer & Gächter 2010",51,303,2,3,5,3,0,15,38.4,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,,,11,,
"Fischbaer & Gächter 2010",51,303,3,3,4,3,0,3,24,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,15,11,
"Fischbaer & Gächter 2010",51,303,4,3,3,3,0,8,29.2,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,15,11
"Fischbaer & Gächter 2010",51,303,5,3,3,3,0,7,28,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,3,15
"Fischbaer & Gächter 2010",51,303,6,3,1,3,0,2,22.4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,8,3
"Fischbaer & Gächter 2010",51,303,7,3,1,3,0,2,22.4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,7,8
"Fischbaer & Gächter 2010",51,303,8,3,2,3,0,1,20.8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,2,7
"Fischbaer & Gächter 2010",51,303,9,3,5,3,0,8,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,2,2
"Fischbaer & Gächter 2010",51,303,10,3,1,3,0,2,22.4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,1,2
"Fischbaer & Gächter 2010",52,304,1,3,5,4,8,8,25.2,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,,,,,,
"Fischbaer & Gächter 2010",52,304,2,3,4,4,9,2,17.4,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,,,8,,
"Fischbaer & Gächter 2010",52,304,3,3,4,4,0,3,24,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,8,,2,8,
"Fischbaer & Gächter 2010",52,304,4,3,4,4,2,7,26.8,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,9,8,3,2,8
"Fischbaer & Gächter 2010",52,304,5,3,5,4,3,1,19,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,2,0,9,7,3,2
"Fischbaer & Gächter 2010",52,304,6,3,2,4,2,7,27.2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,2,0,1,7,3
"Fischbaer & Gächter 2010",52,304,7,3,2,4,2,3,22.4,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,2,3,2,7,1,7
"Fischbaer & Gächter 2010",52,304,8,3,1,4,10,3,18,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,2,2,3,3,7,1
"Fischbaer & Gächter 2010",52,304,9,3,4,4,4,1,18.8,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10,2,2,3,3,7
"Fischbaer & Gächter 2010",52,304,10,3,5,4,0,2,22.4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4,10,2,1,3,3
"Fischbaer & Gächter 2010",53,305,1,3,1,5,20,11,21.2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,,,,,,
"Fischbaer & Gächter 2010",53,305,2,3,1,5,20,6,14.8,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,20,,,11,,
"Fischbaer & Gächter 2010",53,305,3,3,2,5,20,13,23.2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,20,20,,6,11,
"Fischbaer & Gächter 2010",53,305,4,3,3,5,10,4,19.2,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,20,20,20,13,6,11
"Fischbaer & Gächter 2010",53,305,5,3,3,5,0,7,28,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10,20,20,4,13,6
"Fischbaer & Gächter 2010",53,305,6,3,2,5,0,8,29.2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,10,20,7,4,13
"Fischbaer & Gächter 2010",53,305,7,3,4,5,0,1,21.2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,10,8,7,4
"Fischbaer & Gächter 2010",53,305,8,3,2,5,0,1,20.8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,1,8,7
"Fischbaer & Gächter 2010",53,305,9,3,1,5,0,1,21.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,1,1,8
"Fischbaer & Gächter 2010",53,305,10,3,2,5,0,1,21.2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,1,1,1
"Fischbaer & Gächter 2010",54,306,1,3,1,6,11,14,30.2,4,0,7,11,2,3,4,5,6,11,12,13,11,18,0,16,9,9,3,10,11,18,9,10,8,12,11,7,,,,,,
"Fischbaer & Gächter 2010",54,306,2,3,3,6,11,13,29.4,4,0,10,11,2,3,4,5,6,11,12,13,11,18,0,16,9,9,3,10,11,18,9,10,8,18,11,7,11,,,14,,
"Fischbaer & Gächter 2010",54,306,3,3,3,6,11,6,20.2,4,0,12,11,2,3,4,5,6,11,12,13,11,18,0,16,9,9,3,10,11,18,9,10,8,16,11,7,11,11,,13,14,
"Fischbaer & Gächter 2010",54,306,4,3,5,6,18,9,19.6,4,0,9,11,2,3,4,5,6,11,12,13,11,18,0,16,9,9,3,10,11,18,9,10,8,11,11,7,11,11,11,6,13,14
"Fischbaer & Gächter 2010",54,306,5,3,5,6,2,1,20,4,0,5,11,2,3,4,5,6,11,12,13,11,18,0,16,9,9,3,10,11,18,9,10,8,6,11,7,18,11,11,9,6,13
"Fischbaer & Gächter 2010",54,306,6,3,4,6,11,2,15.8,4,0,7,11,2,3,4,5,6,11,12,13,11,18,0,16,9,9,3,10,11,18,9,10,8,12,11,7,2,18,11,1,9,6
"Fischbaer & Gächter 2010",54,306,7,3,2,6,1,3,23.4,4,0,4,11,2,3,4,5,6,11,12,13,11,18,0,16,9,9,3,10,11,18,9,10,8,5,11,7,11,2,18,2,1,9
"Fischbaer & Gächter 2010",54,306,8,3,1,6,10,3,18,4,0,4,11,2,3,4,5,6,11,12,13,11,18,0,16,9,9,3,10,11,18,9,10,8,5,11,7,1,11,2,3,2,1
"Fischbaer & Gächter 2010",54,306,9,3,5,6,20,2,10,4,0,8,11,2,3,4,5,6,11,12,13,11,18,0,16,9,9,3,10,11,18,9,10,8,13,11,7,10,1,11,3,3,2
"Fischbaer & Gächter 2010",54,306,10,3,5,6,5,0,17.4,4,0,5,11,2,3,4,5,6,11,12,13,11,18,0,16,9,9,3,10,11,18,9,10,8,6,11,7,20,10,1,2,3,3
"Fischbaer & Gächter 2010",55,307,1,3,5,7,17,5,16.2,3,0,3,0,1,3,3,4,4,4,5,4,4,5,6,6,6,5,4,4,4,3,2,0,3,3,17,3,,,,,,
"Fischbaer & Gächter 2010",55,307,2,3,1,7,14,8,20.8,3,0,10,0,1,3,3,4,4,4,5,4,4,5,6,6,6,5,4,4,4,3,2,0,3,5,17,3,17,,,5,,
"Fischbaer & Gächter 2010",55,307,3,3,2,7,18,13,25.2,3,0,13,0,1,3,3,4,4,4,5,4,4,5,6,6,6,5,4,4,4,3,2,0,3,6,17,3,14,17,,8,5,
"Fischbaer & Gächter 2010",55,307,4,3,4,7,20,1,8.8,3,0,14,0,1,3,3,4,4,4,5,4,4,5,6,6,6,5,4,4,4,3,2,0,3,5,17,3,18,14,17,13,8,5
"Fischbaer & Gächter 2010",55,307,5,3,2,7,15,3,15,3,0,11,0,1,3,3,4,4,4,5,4,4,5,6,6,6,5,4,4,4,3,2,0,3,6,17,3,20,18,14,1,13,8
"Fischbaer & Gächter 2010",55,307,6,3,4,7,5,4,21.8,3,0,6,0,1,3,3,4,4,4,5,4,4,5,6,6,6,5,4,4,4,3,2,0,3,4,17,3,15,20,18,3,1,13
"Fischbaer & Gächter 2010",55,307,7,3,3,7,5,3,20.2,3,0,5,0,1,3,3,4,4,4,5,4,4,5,6,6,6,5,4,4,4,3,2,0,3,4,17,3,5,15,20,4,3,1
"Fischbaer & Gächter 2010",55,307,8,3,4,7,3,3,21.4,3,0,4,0,1,3,3,4,4,4,5,4,4,5,6,6,6,5,4,4,4,3,2,0,3,4,17,3,5,5,15,3,4,3
"Fischbaer & Gächter 2010",55,307,9,3,2,7,2,1,19.6,3,0,3,0,1,3,3,4,4,4,5,4,4,5,6,6,6,5,4,4,4,3,2,0,3,3,17,3,3,5,5,3,3,4
"Fischbaer & Gächter 2010",55,307,10,3,3,7,0,4,24.4,3,0,0,0,1,3,3,4,4,4,5,4,4,5,6,6,6,5,4,4,4,3,2,0,3,0,17,3,2,3,5,1,3,3
"Fischbaer & Gächter 2010",56,308,1,3,3,8,0,7,28.4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,
"Fischbaer & Gächter 2010",56,308,2,3,4,8,0,5,26.4,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,,7,,
"Fischbaer & Gächter 2010",56,308,3,3,5,8,0,9,30.4,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,5,7,
"Fischbaer & Gächter 2010",56,308,4,3,1,8,0,10,32,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,5,7
"Fischbaer & Gächter 2010",56,308,5,3,5,8,0,2,22,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,9,5
"Fischbaer & Gächter 2010",56,308,6,3,1,8,0,2,22.4,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,10,9
"Fischbaer & Gächter 2010",56,308,7,3,1,8,0,2,22.4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,2,10
"Fischbaer & Gächter 2010",56,308,8,3,5,8,0,1,20.8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,2,2
"Fischbaer & Gächter 2010",56,308,9,3,2,8,0,1,21.6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,2,2
"Fischbaer & Gächter 2010",56,308,10,3,1,8,0,2,22.4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,2
"Fischbaer & Gächter 2010",57,309,1,3,4,9,5,7,25.4,1,0,5,0,2,3,4,5,6,7,8,9,10,20,20,20,20,20,20,20,20,20,20,20,6,6,5,5,,,,,,
"Fischbaer & Gächter 2010",57,309,2,3,4,9,7,3,19.4,1,0,6,0,2,3,4,5,6,7,8,9,10,20,20,20,20,20,20,20,20,20,20,20,6,7,5,5,5,,,7,,
"Fischbaer & Gächter 2010",57,309,3,3,5,9,6,7,24.4,1,0,6,0,2,3,4,5,6,7,8,9,10,20,20,20,20,20,20,20,20,20,20,20,6,7,5,5,7,5,,3,7,
